,Unnamed: 0,IDPERSON,ID11,ID13
49174,68393,96303110105,1,3
49175,190967,320505200103,2,3
49176,190773,320504150904,2,3
49177,12707,30305060101,1,4
49178,150781,271404041104,1,3
49179,73955,100902060105,1,3
49180,90239,190206011108,1,5
49181,192715,320711061101,1,4
49182,75362,101602061106,1,2
49183,169554,282103110104,1,3
49184,15294,30908050105,1,2
49185,83684,160201100901,5,5
49186,167260,281508150103,1,3
49187,195049,321111030102,1,3
49188,62955,94601150102,1,3
49189,153978,272110060101,1,3
49190,195918,321303020106,1,3
49191,196851,330202020904,1,4
49192,5141,20203121104,1,3
49193,83877,160203150101,1,2
49194,187576,292633131105,1,4
49195,3381,11305190203,1,4
49196,47999,82601101103,1,3
49197,85530,180209070106,2,2
49198,9025,20806160203,1,1
49199,189596,300201030101,3,2
49200,92920,190803151103,1,2
49201,9320,21001021103,1,2
49202,115148,220207140103,1,5
49203,84110,170603070102,3,5
49204,113346,212405170105,1,3
49205,107165,210802091201,1,4
49206,12901,30307060101,1,2
49207,58153,92405240104,1,3
49208,168221,281703130102,1,4
49209,56527,91506090101,2,3
49210,111706,211903151104,1,4
49211,11623,30111130101,1,4
49212,138273,240719120902,1,3
49213,173874,290602180103,1,3
49214,6450,20410060103,1,2
49215,26643,60901101103,1,3
49216,109187,211302130103,1,3
49217,32652,70704050102,1,4
49218,68595,96502020110,2,3
49219,87220,180903200101,2,2
49220,193669,320903090103,1,2
49221,111358,211805121106,1,4
49222,178878,291507010102,1,3
49223,159983,273101171101,1,3
49224,108933,211205050108,1,2
49225,88593,181708080102,1,3
49226,194089,321005160204,8,2
49227,90861,190601122108,2,2
49228,78262,102803130104,1,4
49229,94777,190917050107,1,2
49230,170814,290101070102,1,2
49231,32612,70703080101,1,1
49232,153431,272101100101,1,2
49233,129054,232302161205,1,3
49234,144461,242107060901,1,1
49235,183745,292011100903,1,3
49236,102028,201305050101,1,3
49237,104724,210202142103,1,5
49238,70877,96704090107,2,2
49239,173312,290534121103,1,2
49240,168406,281806050104,1,3
